id,code,AggIndex,SMILES,inventor,color_in_powder,patent,reference,molecular_weight,absorption,emission_sol,emission_solid,emission_aggr,emission_crys,qy_sol,qy_solid,qy_aggr,qy_crys,tau_sol,tau_solid,tau_aggr,tau_crys,features_id,mechanism_id,photostability,solubility_carbohyd,solubility_dmsodmf,solubility_enol,solubility_halogen,solubility_mecnacetone,solubility_thfea,solubility_toluene,solubility_water,corresponding_author,molar_aggr,molar_crys,molar_sol,molar_solid,thermostability,report_year,application1,application2,application3,application4,pka,comment,doi,tested_solvent
11,DFE,11,C(=C\c1ccco1)/c2ccco2,VIGLIANTI Lucia,white,,,,315,365,401,365,399,0.32,,,,1.28,,,,ACQ,neutral aromatic,0,,1,0,1,1,1,1,0,,,,,,,,,,,,,,,
12,HCA,12,CN(C)c2ccc(/C=C/C(=O)c1ccccc1O)cc2,SONG Zhegang,red,,"ACS Appl. Mater. Interfaces 2014, 6, 17245−17254",267.13,430,680,680,640,640,,0.185,,,,,,,AIE,ESIPT+ICT/TICT,1,0,1,0,1,1,1,,0,,,,,,,,,,,,,,,
13,DPI-B,13,Cn4c(/C=C(c1ccccc1)/c2ccccc2)nc(c3ccccc3)c4c5ccccc5,SONG Zhegang,,,"Adv. Funct. Mater. 2016, 26, 824–832",412.19,350,470,475,,,,0.253,,,,,,,AIE,neutral aromatic,1,,1,,,,,,,,,,,,,,,,,,,,,
14,DPI-A,14,Cn3c(/C=C(C#N)/c1ccccc1)nc(c2ccccc2)c3c4ccccc4,SONG Zhegang,,,"Adv. Funct. Mater. 2016, 26, 824–832",361.16,390,474,500,,,,0.152,,,,,,,AIE,ICT,1,,1,,,,,,,,,,,,,,,,,,,,,
15,DPI-BP,15,Cn4c(/C=C(c1ccccc1)/c2cc[n+](C)cc2)nc(c3ccccc3)c4c5ccccc5,SONG Zhegang,,,"Adv. Funct. Mater. 2016, 26, 824–832",429.22,435,595,616,,,,0.142,,,,,,,AIE,ICT,1,,1,,,,,,,,,,,,,,,,,,,,,
16,DPI-In,16,Cn4c(/C=C/C2=[N+](C)c1ccccc1C2(C)C)nc(c3ccccc3)c4c5ccccc5,SONG Zhegang,,,"Adv. Funct. Mater. 2016, 26, 824–832",418.23,492,614,642,,,,0.049,,,,,,,AIE,ICT,1,,1,,,,,,,,,,,,,,,,,,,,,
17,TPE-IPB,17,CC7(C)OB(c6ccc(COc1ccccc1/C=N/c5ccc(/C(=C(c2ccccc2)/c3ccccc3)c4ccccc4)cc5)cc6)OC7(C)C,SONG Zhegang,yellow,,"Adv. Mater. 2016, 28, 7249–7256 ",451.2,360,,538,538,,,,,,,,,,AIE,neutral aromatic,1,,,,,,,,,,,,,,,,,,,,,,,
18,TPE-Tetrazole-1,18,c5ccc(/C(=C(c1ccccc1)\c3ccc(c2nnn[nH]2)cc3)c4ccccc4)cc5,XIE Sheng,white,,,400.18,350,,,480,,,0.39,,,,,,,AIE,neutral aromatic,1,,,1,,,,,,,,,,,,,,,,,,,,
19,TPE-Tetrazole-2,19,c6ccc(/C(=C(c2ccc(c1nnn[nH]1)cc2)/c4ccc(c3nnn[nH]3)cc4)c5ccccc5)cc6,XIE Sheng,white,,,468.18,370,,475,,,,0.38,,,,,,,AIE,neutral aromatic,1,,,1,,,,,,,,,,,,,,,,,,,,
20,TPE-Tetrazole-4,20,c2cc(c1nnn[nH]1)ccc2/C(=C(c4ccc(c3nnn[nH]3)cc4)/c6ccc(c5nnn[nH]5)cc6)c8ccc(c7nnn[nH]7)cc8,XIE Sheng,white,,,604.26,370,,484,,,,0.78,,,,,,,AIE,neutral aromatic,1,,,1,,,,,,,,,,,,,,,,,,,,
21,ESIPT-N3,21,N#N=NCCOc4ccc(/C=N/N=c2c1ccccc1c3ccccc23)c(O)c4,XIE Sheng,yellow,,,383.41,450,,550,,,,0.01,,,,,,,AIE,ESIPT,1,,1,,1,,,,,,,,,,,,,,,,,,,
22,CM-b,22,c8ccc(/C(=C(c1ccccc1)/c6ccc(c4nc(c2ccccc2)c(c3ccccc3)nc4c5ccccc5)cc6)c7ccccc7)cc8,CHEN Ming,white,,,638.8,350,481,481,,,,0.542,,,,,,,AIE,neutral aromatic,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,
23,CM-d,23,c8ccc(/C(=C(c1ccccc1)/c6cccc(c4nc(c2ccccc2)c(c3ccccc3)nc4c5ccccc5)c6)c7ccccc7)cc8,CHEN Ming,white,,,638.8,336,477,477,,,,0.342,,,,,,,AIE,neutral aromatic,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,
24,CM-e,24,c8ccc(/C(=C(c1ccccc1)/c2ccccc2c5nc(c3ccccc3)c(c4ccccc4)nc5c6ccccc6)c7ccccc7)cc8,CHEN Ming,white,,,638.8,342,475,475,,,,0.05,,,,,,,AIE,neutral aromatic,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,
25,CM-c,25,N#C/C(C#N)=C\c6ccc(c5ccc(c3nc(c1ccccc1)c(c2ccccc2)nc3c4ccccc4)cc5)cc6,CHEN Ming,green,,,536.6,372,533,510,,,,0.3,,,,,,,AIE,ICT,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,
26,CM-f,26,N#C/C(C#N)=C\c6ccc(c5ccc(c3nc(c1ccccc1)c(c2ccccc2)nc3c4ccccc4)cc5)s6,CHEN Ming,yellow,,,542.7,419,550,550,,,,0.034,,,,,,,AIE,ICT,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,
27,CM-i,27,N#Cc9nc(c4ccc(c3ccc(N(c1ccccc1)c2ccccc2)cc3)cc4)c(c8ccc(c7ccc(N(c5ccccc5)c6ccccc6)cc7)cc8)nc9C#N,CHEN Ming,red,,,768.9,408,660,630,,,,0.176,,,,,,,AIE,ICT,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,
28,TriPCE,28,COc3ccc(/C(=C(C#N)\c1ccccc1)c2ccccc2)cc3,QIU Zijie,green,TTC.PA.0980,"Macromolecules, 2016, 49, 8888–8898 ",311.38,320,,490,490,,,,,,,,,,AIE,ICT,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,
29,Ryan1,29,C[N+](C)(C)CCCCCCC8(CCCCCC[N+](C)(C)C)c1ccccc1c7cc(/C(=C(c2ccccc2)/c3ccc5c(c3)c4ccccc4C5(CCCCCC[N+](C)(C)C)CCCCC[N+](C)(C)C)c6ccccc6)ccc78,KWOK Ryan,green,,"J. Mater. Chem. B, 2014,2, 4134-4141",1397.34,350,,,520,,,,,,,,,,AIE,neutral aromatic,1,,,1,,,,,1,,,,,,,,,,,,,,,
30,Ryan2,30,O=P([O-])([O-])Oc4ccc(/C(=C(c1ccccc1)/c2ccc(OP(=O)([O-])[O-])cc2)c3ccccc3)cc4,KWOK Ryan,blue,,"ACS Appl. Mater. Interfaces 2013, 5, 8784−8789",524.1,312,,,480,,,,,,,,,,AIE,neutral aromatic,1,,,,,,,,1,,,,,,,,,,,,,,,
31,TPE-C,31,O=N(=O)c1ccccc1COc6ccc(c5ccc(/C(=C(c2ccccc2)/c3ccccc3)c4ccccc4)cc5)cc6,YU Chris,,,,,,,,,,,,,,,,,,AIE,neutral aromatic,,,,,,,,,,,,,,,,,,,,,,,,
32,ASCP,32,CN(C)c3ccc(/C=C(C#N)/c2ccc(c1cc[n+](C)cc1)cc2)cc3,YU Chris,red,,"J. Mater. Chem. B, 2016, 4, 2614-2619",340.18,450,,,650,,,,,,,,,,AIE,ICT,,,1,,,,,,,,,,,,,,,,,,,,,
33,ASCP-2P,33,C[n+]5ccc(c4ccc(/C(C#N)=C/c3ccc(N(c1ccccc1)c2ccccc2)cc3)cc4)cc5,YU Chris,red,,,464.2133,460,660,,620,,0.015,,0.057,,,,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
34,ASCP-TPA,34,C[n+]6ccc(c5ccc(/C(C#N)=C/c4ccc(c3ccc(N(c1ccccc1)c2ccccc2)cc3)cc4)cc5)cc6,YU Chris,,,,540.2458,440,,,620,,0.007,,0.95,,,,,,AIE,ICT,,,1,,,,,,,,,,,,,,,,,,,,,
35,2ASCP-TPA,35,C[n+]6ccc(c5ccc(/C(C#N)=C(C#N)/c4ccc(c3ccc(N(c1ccccc1)c2ccccc2)cc3)cc4)cc5)cc6,YU Chris,red,,,565.2332,460,,,720,,0.005,,0.056,,,,,,AIE,ICT,1,,1,,,,,,,,,,,,,,,,,,,,,
36,ASCP-PZ,36,C[n+]4ccc(c3ccc(/C(C#N)=C(C#N)/c2ccc(N1CC[N+](C)(C)CC1)cc2)cc3)cc4,YU Chris,orange,TTC PA 0553,"Adv. Funct. Mater., 2014, 24, 635-643; Chem. Commun., 2015, 51, 7321-7324.",1130,395,635,,610,,,,,,,,,,AIE,TICT,1,,,,,,,,,,,,,,,,,,,,,,,
37,TTB,37,C1(C2=CC=C(N(C3=CC=CC=C3)C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C4)C=C2)=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=C(/C(C%11=CC=CC=C%11)=C(C%12=CC=CC=C%12)/C%13=CC=CC=C%13)C=C%10)C=C8)C%14=NSN=C1%14,QIN Wei,red,TTC PA 0553,"Adv. Funct. Mater., 2014, 24, 635-643; Chem. Commun., 2015, 51, 7321-7324.",1230,471,616,617,609,,,0.488,,,,4.93,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
38,TNB,38,C1(C2=CC=C(N(C3=CC=CC4=C3C=CC=C4)C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)/C8=CC=CC=C8)C=C5)C=C2)=CC=C(C9=CC=C(N(C%10=CC=CC%11=C%10C=CC=C%11)C%12=CC=C(/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)/C%15=CC=CC=C%15)C=C%12)C=C9)C%16=NSN=C1%16,QIN Wei,red,,"J. Mater. Chem. C, 2014, 2, 3756–3761",918,470,613,617,604,,,0.63,,,,3.19,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
39,TPE-NPB,39,C1(/C(C2=CC=C(C3=CC=C(N(C4=C(C=CC=C5)C5=CC=C4)C6=CC=CC=C6)C=C3)C=C2)=C(C7=CC=CC=C7)\C8=CC=C(C9=CC=C(N(C%10=CC=CC%11=C%10C=CC=C%11)C%12=CC=CC=C%12)C=C9)C=C8)=CC=CC=C1,QIN Wei,yellow,TTC PA 0553,"Adv. Funct. Mater., 2012, 22, 771-779. ",1343,340,511,506,505,,,0.98,,,,,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
40,TPE-TPA-DCM (TTD),40,N#C/C(C#N)=C1C=C(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=C(C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)/C8=CC=CC=C8)C=C5)C=C4)C=C2)OC(/C=C/C9=CC=C(N(C%10=CC=CC=C%10)C%11=CC=C(C%12=CC=C(/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)/C%15=CC=CC=C%15)C=C%12)C=C%11)C=C9)=C/1,QIN Wei,red,TTC PA 0553,"Sci. Rep., 2013, 3, 1150",1072,490,633,,660,,,0.12,,,,,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
41,TPE-TPA-FN(TTF),41,N#C/C(c1ccc(N(c2ccccc2)c3ccc(/C(c4ccccc4)=C(c5ccccc5)/c6ccccc6)cc3)cc1)=C(c7ccc(N(c8ccccc8)c9ccc(/C(c%10ccccc%10)=C(c%11ccccc%11)/c%12ccccc%12)cc9)cc7)/C#N,QIN Wei,red,TTC PA 0553,"Adv. Healthcare Mater., 2015, 4, 2667-2676. ",1234,497,660,663,671,,,0.525,,,,,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
42,DPBA-TPE,42,COc1c(/C=C(c2ccc(N(c3ccc(/C(c4ccccc4)=C(c5ccccc5)/c6ccccc6)cc3)c7ccccc7)cc2)\C#N)cc(OC)c(/C=C(C#N)/c8ccc(N(c9ccc(/C(c%10ccccc%10)=C(c%11ccccc%11)/c%12ccccc%12)cc9)c%13ccccc%13)cc8)c1,QIN Wei,red,,,1465,480,619,,624,,,0.14,,,,,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
43,TTS,43,c1(c2ccc(N(c3ccc(N(c4ccccc4)c5ccccc5)cc3)c6ccc(/C(c7ccccc7)=C(c8ccccc8)/c9ccccc9)cc6)cc2)c%10nsnc%10c(c%11ccc(N(c%12ccc(N(c%13ccccc%13)c%14ccccc%14)cc%12)c%15ccc(/C(c%16ccccc%16)=C(c%17ccccc%17)/c%18ccccc%18)cc%15)cc%11)cc1,QIN Wei,red,,,1513,481,641,636,636,,,0.303,,,,,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
44,TTSe,44,c1(c2ccc(N(c3ccc(N(c4ccccc4)c5ccccc5)cc3)c6ccc(/C(c7ccccc7)=C(c8ccccc8)/c9ccccc9)cc6)cc2)c%10n[se]nc%10c(c%11ccc(N(c%12ccc(N(c%13ccccc%13)c%14ccccc%14)cc%12)c%15ccc(/C(c%16ccccc%16)=C(c%17ccccc%17)/c%18ccccc%18)cc%15)cc%11)cc1,QIN Wei,red,,,502,500,662,665,665,,,0.08,,,,,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
45,TM-s-TPE,45,Cc1c(C)cc(C(c2cc(C)c(C)cc2C)C(c3c(C)cc(C)c(C)c3)C4cc(C)C(C)cc4C)c(C)c1,ZHANG Haoke,white,,,252,281,301,397,385,,,0.085,,,,,,,AIE,clusterluminescence,1,,,,,,,,,,,,,,,,,,,,,,,
46,DPM-TM,46,Cc1cc(C)c(C)cc1Cc2cc(C)c(C)cc2C,ZHANG Haoke,white,,,266,278,297,401,400,,,0.015,,,,,,,AIE,clusterluminescence,1,,,,,,,,,,,,,,,,,,,,,,,
47,s-DPE-TM,47,Cc1cc(C)c(C)cc1CCc2cc(C)c(C)cc2C,ZHANG Haoke,white,,,264,280,297,390,390,,,0.94,,,,,,,AIE,clusterluminescence,1,,,,,,,,,,,,,,,,,,,,,,,
48,DPE-TM,48,Cc1cc(C)c(C)cc1/C=C/c2cc(C)c(C)cc2C,ZHANG Haoke,white,,,313,319,381,397,396,,,1,,,,,,,AIE,clusterluminescence,1,,,,,,,,,,,,,,,,,,,,,,,
49,TPh-TM,49,Cc1cc(C)c(C)cc1c2ccc(c3cc(C)c(C)cc3C)cc2,ZHANG Haoke,white,,,314,259,340,337,345,,,0.48,,,,,,,AIE,clusterluminescence,1,,,,,,,,,,,,,,,,,,,,,,,
50,TPh-ME,50,Cc1cc(C)cc(C)c1c2ccc(c3c(C)cc(C)cc3C)cc2,ZHANG Haoke,white,,,472,241,330,,336,,,,,,,,,,AIE,clusterluminescence,1,,,,,,,,,,,,,,,,,,,,,,,
51,TPh-TM-DBr,51,Brc1cc(c2cc(C)c(C)cc2C)c(Br)cc1c3cc(C)c(C)cc3C,ZHANG Haoke,white,,,418.2,278,337,,401,,,,,,,,,,AIE,clusterluminescence,1,,,,,,,,,,,,,,,,,,,,,,,
52,TPE-TMX,52,CN(C)CCOc1ccc(/C(c2ccccc2)=C(c3ccccc3)/c4ccccc4)cc1,Yueyue,white,,"Nanoscale, 2016, 8, 12520–12523",423.2243,,480,480,,,,,,,,,,,AIE,neutral aromatic,1,,,,,,,,,,,,,,,,,,,,,,,
53,TPE-PY-N3,53,[N-]=[N+]=NCCCC[n+]1ccc(/C=C/c2ccc(/C(c3ccccc3)=C(c4ccccc4)\c5ccccc5)cc2)cc1,Yueyue,,,"J. Mater. Chem. B, 2015, 3, 4993 ",,,,618,,,,0.1772,,,,,,,AIE,neutral aromatic,1,,,,,,,,,,,,,,,,,,,,,,,
54,,54,C/C(c1ccc(/C(c2ccccc2)=C(c3ccc(N(C)C)cc3)\c4ccc(N(C)C)cc4)cc1)=C(C#N)/C#N,GU Xinggui,,,,,,,,,,,,,,,,,,AIE,TICT,1,,,,,,,,,,,,,,,,,,,,,,,
55,,55,COc1ccc(/C(c2ccc(OC)cc2)=C(c3ccc(/C(c4ccccc4)=C(c5cc[n+](C)cc5)\c6cc[n+](C)cc6)cc3)\c7ccccc7)cc1,GU Xinggui,red,PCT/CN2015/099420,"Adv. Mater. 2016, 28, 5064",968.8,450,,650,650,,,0.02,,,,,,,AIE,TICT,0,,,,,,,,,,,,,,,,,,,,,,,
56,,56,C[n+]1ccc(/C(c2ccc(OC)cc2)=C(c3ccc(OC)cc3)\c4ccc(OC)cc4)cc1.F[P-](F)(F)(F)(F)F,GU Xinggui,yellow,PCT/CN2015/099420,"Adv. Mater. 2015, 27, 7093",583.5,390,,590,590,,,0.04,,,,,,,AIE,TICT,0,,,,,,,,,,,,,,,,,,,,,,,
57,,57,Cc1ccc(/C(c2ccccc2)=C(c3ccc(Oc4cc(C5=O)c6c(C(N5CCCNC(Nc(n7)[nH]c(C(CC)CCCC)cc7=O)=O)=O)ccc8c6c4c9ccc(C%10=O)c%11c9c8c(Oc%12ccc(/C(c%13ccccc%13)=C(c%14ccccc%14)/c%15ccc(C)cc%15)cc%12)cc%11C(N%10CCCNC(Nc(n%16)[nH]c(C(CC)CCCC)cc%16=O)=O)=O)cc3)\c%17ccccc%17)cc1,PENG Huiqing,red,,,1696,520,,,650,,,,,,,,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
58,,58,O=C(NC1=NC(C=C(C(CC)CCCC)N1)=O)Nc2ccc(/C(c3ccccc3)=C(c4ccccc4)/c5ccc(NC(NC6=NC(C=C(C(CC)CCCC)N6)=O)=O)cc5)cc2,PENG Huiqing,blue,,,832,320,490,475,475,,,0.27,,,,,,,AIE,neutral aromatic,,,,,,,,,,,,,,,,,,,,,,,,
59,,59,O=C(NC1=NC(C=C(C(CC)CCCC)N1)=O)Nc2ccc(/C(c3ccccc3)=C(c4ccc(NC(NC5=NC(C=C(C(CC)CCCC)N5)=O)=O)cc4)/c6ccccc6)cc2,PENG Huiqing,green,,,832,320,490,495,495,,,0.29,,,,,,,AIE,neutral aromatic,,,,,,,,,,,,,,,,,,,,,,,,
60,p-TPE-RNS,60,CCN(CC)c1cc2c(C3(N(NC(Nc4ccccc4)=S)C(c5ccc(c6ccc(/C(c7ccccc7)=C(c8ccccc8)/c9ccccc9)cc6)cc53)=O)c%10ccc(N(CC)CC)cc%10O2)cc1,CHEN Yuncong,white,,"Chem. Sci., 2017,8, 2047-2055",921,315,,480,480,,,0.152,,,,,,,AIE,TICT,,,,,,,,,,,,,,,,,,,,,,,,
61,m-TPE-RNS,61,CCN(CC)c1cc2c(C3(N(NC(Nc4ccccc4)=S)C(c5cc(c6ccc(/C(c7ccccc7)=C(c8ccccc8)/c9ccccc9)cc6)ccc53)=O)c%10ccc(N(CC)CC)cc%10O2)cc1,CHEN Yuncong,white,,"Chem. Sci., 2017,8, 2047-2055",921,355,,485,485,,,0.041,,,,,,,AIE,TICT,,,,,,,,,,,,,,,,,,,,,,,,
62,,62,COc1ccc(/C(c2ccc(OC)cc2)=C(c3ccc(c4ccncc4)cc35)\c6c5cccc6)cc1,CHEN Yuncong,green,,,467,,,,,,,,,,,,,,AIE,TICT,1,,,,,,,,,,,,,,,,,,,,,,,
63,,63,COc1ccc2c(c3c(/C2=C(c4ccc(c5ccncc5)cc4)/c6ccccc6)ccc(OC)c3)c1,CHEN Yuncong,yellow,,,467,,,,,,,,,,,,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
64,BMO,64,O=C1OC(C)=N/C1=C\c2ccccc2,JIANG Meijuan,yellow,,,187.198,329,462,506,,,,0.037,,,,0.82,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
65,BMO-PH,65,O=C1OC(C)=N/C1=C\c2ccc(c3ccccc3)cc2,JIANG Meijuan,yellow,,,263.296,354,432,527,,,,0.23,,,,0.56,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
66,BMO-PF,66,O=C1OC(C)=N/C1=C\c2cc3c(c4ccccc4C3)cc2,JIANG Meijuan,yellow,,,275.309,370,444,548,,,,0.22,,,,0.79,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
67,BMO-PM,67,O=C1OC(C)=N/C1=C\c2ccc(c3ccc(OC)cc3)cc2,JIANG Meijuan,yellow,,,293.322,373,478,542,,,,0.185,,,,0.58,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
68,BMO-PC,68,O=C1OC(C)=N/C1=C\c2ccc(c3ccc(C#N)cc3)cc2,JIANG Meijuan,yellow,,,288.306,354,442,524,,,,0.129,,,,0.57,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
69,TPE-BMO,69,O=C1OC(C)=N/C1=C\c2ccc(c3ccc(/C(c4ccccc4)=C(c5ccccc5)/c6ccccc6)cc3)cc2,JIANG Meijuan,yellow,,,517.628,377,530,540,504,,,0.24,,,,0.76,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
70,TPA-BMO,70,O=C1OC(C)=N/C1=C\c2ccc(c3ccc(N(c4ccccc4)c5ccccc5)cc3)cc2,JIANG Meijuan,red,,,430.507,410,591,635,578,,,0.19,,,,1.78,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
71,DM-TPE-DMO,71,O=C1OC(C)=N/C1=C\c2ccc(c3ccc(/C(c4ccccc4)=C(c5ccc(OC)cc5)/c6ccc(OC)cc6)cc3)cc2,JIANG Meijuan,yellow,,,577.68,388,592,550,555,,,0.59,,,,0.88,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
72,TPE-PA,72,O=Cc1ccc(c2ccc(/C(c3ccccc3)=C(c4ccccc4)/c5ccccc5)cc2)cc1,JIANG Meijuan,yellow,,,436.554,338,,480,488,,,0.41,,,,0.57,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
73,DM-TPE-PA,73,O=Cc1ccc(c2ccc(/C(c3ccccc3)=C(c4ccc(OC)cc4)/c5ccc(OC)cc5)cc2)cc1,JIANG Meijuan,yellow,,,496.606,350,,503,524,,,0.68,,,,0.72,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
74,Naph-BMO,74,O=C1OC(C)=N/C1=C\c2ccc(c3ccc(OC)c4ccccc43)cc2,JIANG Meijuan,yellow,,,343.382,368,,560,519,,,0.39,,,,0.96,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
75,Naph-PA,75,COc1ccc(c2ccc(C=O)cc2)c3ccccc31,JIANG Meijuan,white,,,262.308,326,436,427,449,,,0.15,,,,0.14,,,AIE,ICT,,,,,,,,,,,,,,,,,,,,,,,,
76,TPA-BI,76,O=C1N(CCC)C(C)=N/C1=C\c2ccc(c3ccc(N(c4ccccc4)c5ccccc5)cc3)cc2,JIANG Meijuan,orange,,,471.604,410,610,,570,,,0.22,,,,,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
77,IQ-DPA,77,CCC[n+]1c(c2ccccc2)c(c3ccccc3)c(cc(N(c4ccccc4)c5ccccc5)cc6)c6c1.F[B-](F)(F)F,JIANG Meijuan,yellow,,,578.4616,406,573,530,590,,,0.57,,,,,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
78,IQ-Naph,78,COc1c2ccccc2c(c3ccc4c[n+](CCC)c(c5ccccc5)c(c6ccccc6)c4c3)cc1.F[B-](F)(F)F,JIANG Meijuan,yellow,,,567.4346,395,573,474,560,,,0.59,,,,,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
79,IQ-TPA,79,F[B-](F)(F)F.CCC[n+]1c(c2ccccc2)c(c3ccccc3)c(cc(c4ccc(N(c5ccccc5)c6ccccc6)cc4)cc7)c7c1,JIANG Meijuan,orange,,,654.5596,450,630,560,630,,,0.19,,,,,,,AIE,ICT,1,,,,,,,,,,,,,,,,,,,,,,,
